ticket,git_sha,baseline_id,case_id,backend,mode,input_tokens,output_tokens,concurrency,repetition,status,ttft_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,active_kv_bytes,allocated_kv_pool_bytes,load_ms,compile_capture_ms,reason
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-4096,transformers,offline,4096,128,1,-1,warmup,937.5562658533454,30.398234683421574,38.30397675434748,26.033625428326626,9285254656,,,1904.6923629939556,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-4096,transformers,offline,4096,128,1,0,pass,319.1787339746952,29.942669697837637,37.951247207820415,30.174257883943763,9285254656,,,1904.6923629939556,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-4096,transformers,offline,4096,128,1,1,pass,318.79474222660065,29.896567018503056,37.817888210217156,30.228042919603872,9285254656,,,1904.6923629939556,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-4096,transformers,offline,4096,128,1,2,pass,319.17858123779297,29.92056655265125,37.867341128488384,30.20084397384548,9285254656,,,1904.6923629939556,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-4096,transformers,offline,4096,128,1,3,pass,318.75971611589193,29.951054760853626,37.88609138379494,30.17751057645869,9285254656,,,1904.6923629939556,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-4096,transformers,offline,4096,128,1,4,pass,318.84020660072565,29.95064462135945,37.998128620286785,30.165312983988343,9285254656,,,1904.6923629939556,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-16384,transformers,offline,16384,128,1,-1,warmup,2135.4500045999885,34.39748579902308,41.77882336080074,19.35098383226971,12480891392,,,1929.4348480179906,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-16384,transformers,offline,16384,128,1,0,pass,1469.388804398477,34.01794968937923,41.47902689874172,21.68909017819583,12480891392,,,1929.4348480179906,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-16384,transformers,offline,16384,128,1,1,pass,1469.0719218924642,34.017695704408524,41.43870336314043,21.69258278231436,12480891392,,,1929.4348480179906,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-16384,transformers,offline,16384,128,1,2,pass,1471.3742015883327,34.0724439593032,41.50818673272928,21.65780066292792,12480891392,,,1929.4348480179906,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-16384,transformers,offline,16384,128,1,3,pass,1472.652061842382,34.16442037892661,41.537537860373654,21.613844244183536,12480891392,,,1929.4348480179906,,KV pages unavailable; rep=-1 includes cold compilation.
