job,backend,repetition,status,ttft_ms,mean_decode_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,new_captures,max_used_pages,free_pages_after,expected_free_pages
eager-130944-1,vllm,0,pass,72660.8297182247,59.15695730244785,59.05511621884735,59.91737072666486,1.5965320744030715,72238883328,0,26265,208150,208150
eager-130944-1,vllm,1,pass,72648.46840966493,58.39430999861458,58.262069002791705,59.381709434092045,1.5987100102770178,72238883328,0,26265,208150,208150
eager-130944-1,vllm,2,pass,72660.82311980426,57.46803610167635,57.367091873727205,58.2217530036966,1.600815031697563,72238883328,0,26265,208150,208150
eager-130944-1,vllm,3,pass,72697.12781719863,58.733744964766224,58.681325687627705,59.12514223406712,1.5968797215245836,72238883328,0,26265,208150,208150
eager-130944-1,vllm,4,pass,72659.19390786439,58.87958629599472,58.76156917241003,59.760780818760395,1.5972665052037134,72238883328,0,26265,208150,208150
eager-16384-1,vllm,0,pass,2302.284397184849,34.64339793784412,34.53255255174424,35.471043487389885,19.098767655959733,72252753408,0,4488,208473,208473
eager-16384-1,vllm,1,pass,2303.2655492424965,34.71222954002891,34.585589193739,35.65781079232693,19.071105271133312,72252753408,0,4488,208473,208473
eager-16384-1,vllm,2,pass,2303.04220225662,34.78107038944021,34.68925870921729,35.466597601771355,19.046925399329286,72252753408,0,4488,208473,208473
eager-16384-1,vllm,3,pass,2302.6862926781178,34.47050132649386,34.37183890491724,35.20718074093262,19.160399720404644,72252753408,0,4488,208473,208473
eager-16384-1,vllm,4,pass,2302.8735080733895,34.408228229877984,34.3194699713162,35.070956560472645,19.18256990450026,72252753408,0,4488,208473,208473
eager-32768-1,vllm,0,pass,6612.520897760987,37.22504482377232,37.13858683892925,37.8705977772673,11.287367399345236,72257278464,0,7896,208425,208425
eager-32768-1,vllm,1,pass,6614.441151730716,37.25082810058838,37.16690887397687,37.877424992620945,11.282202048422741,72257278464,0,7896,208425,208425
eager-32768-1,vllm,2,pass,6613.274794071913,37.29572626725426,37.191206730702625,38.076138806839786,11.277693794054649,72257278464,0,7896,208425,208425
eager-32768-1,vllm,3,pass,6611.172775737941,37.272406074651116,37.18208768571328,37.94678337872028,11.282727878405424,72257278464,0,7896,208425,208425
eager-32768-1,vllm,4,pass,6611.379163339734,37.05943752754861,36.96520057772951,37.76307341953119,11.309484530007701,72257278464,0,7896,208425,208425
eager-4096-1,vllm,0,pass,382.8903818503022,32.83391535047471,32.73827560977744,33.54802541434765,28.11454178107879,72255368704,0,2052,208508,208508
eager-4096-1,vllm,1,pass,388.15075904130936,32.59397361896873,32.49631826266913,33.323133612672486,28.271107980197364,72255368704,0,2052,208508,208508
eager-4096-1,vllm,2,pass,379.0032537654042,32.510628351780376,32.41669577047495,33.21199162552754,28.394858450610652,72255368704,0,2052,208508,208508
eager-4096-1,vllm,3,pass,385.577860288322,32.79734323695889,32.70239447010681,33.50629402945439,28.126637624525692,72255368704,0,2052,208508,208508
eager-4096-1,vllm,4,pass,378.1837932765484,32.63397607952356,32.53390683260347,33.38115978986025,28.301650619854524,72255368704,0,2052,208508,208508
eager-65536-1,vllm,0,pass,20998.74243605882,43.564954178598455,43.468911450223196,44.28207321713368,4.824453517673273,72247783424,0,14039,208331,208331
eager-65536-1,vllm,1,pass,20994.293405674398,43.609598783526835,43.51539291175349,44.313002626101174,4.8242322826034085,72247783424,0,14039,208331,208331
eager-65536-1,vllm,2,pass,20999.269403517246,43.71823580920931,43.645513659742264,44.26122785856327,4.820821348916908,72247783424,0,14039,208331,208331
eager-65536-1,vllm,3,pass,20996.72991130501,43.61551111989369,43.510008985841914,44.40326038748026,4.82365297436857,72247783424,0,14039,208331,208331
eager-65536-1,vllm,4,pass,20994.611660018563,43.54384680109935,43.45145310175472,44.23371975620588,4.825693247580426,72247783424,0,14039,208331,208331
